# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
selfe-vnworthinesse	self-unworthiness
selfe-wild	self-willed
selfe-will	self-will
selfe-will'd	self-willed
selfe-wronging	self-wronging
selfes	selves
selfesame	selfsame
selfwilled	self-willed
selicitie	felicity
selicity	felicity
selie	silly
selles	sells
sellinge	selling
sellye	selly
sellynge	selling
sels	sells
selue	self
selued	selved
selues	selves
selus	selves
selvs	selves
semblaunces	semblances
semblāt	semblant
seme	seem
semed	seemed
semely	seemly
semes	seems
semeth	seemeth
semi-circle	semicircle
semi-circled	semicircled
semi-gods	semigods
seminarie	seminary
seming	seeming
semiquauer	semiquaver
semitar	scimitar
semitarie	cemetery
semitary	cemetery
sempiternall	sempiternal
sempstresse	sempstress
semstress	seamstress
semy-quauer	semy-quaver
senat	senate
senatour	senator
senatours	senators
senats	senates
senc'd	sensed
senc't	sensed
sence	sense
sence-bereauing	sence-bereaving
senceles	senseless
sencelesly	senselessly
senceless	senseless
sencelesse	senseless
sences	senses
sencible	sensible
sencibly	sensibly
sencitiue	sencitive
send'st	sendest
send-a	send
sende	send
sendes	sends
sendeth	sends
sendst	sendest
sendynges	sendings
sene	seen
seneschall	seneschal
seneshall	seneschal
senight	sevennight
sennight	sevennight
sens	since
senseles	senseless
senselesly	senselessly
senselesse	senseless
senservnt	senserunt
sensitiue	sensitive
sensiue	sensive
sensles	senseless
sensless	senseless
senslesse	senseless
sensualitie	sensuality
sensuall	sensual
sensynge	sensing
sent'st	sentest
sentance	sentence
sente	sent
sented	scented
sentenc'd	sentenced
sentencde	sentenced
sentēses	sentences
sentinell	sentinel
sentinells	sentinels
sentst	sentest
separacyon	separation
sepeliuit	sepelivit
seperable	separable
seperate	separate
seperated	separated
seperates	separates
seperating	separating
seperation	separation
seperations	separations
seperats	separates
septers	scepters
sepulcher'd	sepulchered
sepulchring	sepulchering
sequele	sequel
sequell	sequel
sequestred	sequestered
sequēce	sequence
sequutor	secutor
ser-reuerence	ser-reverence
seraphique	seraphic
serch	search
serche	search
serched	searched
sercher	searcher
serchers	searchers
serches	searches
serching	searching
serenarvnt	serenarunt
serenitie	serenity
sereuingmen	serevingmen
sergants	sergeants
sergivs	sergius
seriants	sergeants
serieant	sergeant
seriouslie	seriously
seriousnes	seriousness
seriousnesse	seriousness
serjant	segeant
serjants	sergeants
serjeants	sergeants
sermone	sermon
sern'd	serened
serpent-like	serpentlike
serpente	serpent
serpentes	serpents
serpēt	serpent
serpētes	serpents
serre	serrae
sertorivs	sertorius
seru	servants
seru'd	served
seru'st	servest
seruant	servant
seruant's	servant's
seruant-like	servant-like
seruante	servant
seruantes	servants
seruants	servants
seruaunt	servant
seruaunte	servant
seruauntes	servants
seruaunts	servants
seruaūt	servant
seruaūtes	servants
seruāt	seruamt
serud	served
serude	served
serue	serve
serued	served
seruent	servent
serues	serves
seruest	servest
serueth	serveth
seruice	service
seruiceable	serviceable
seruices	services
seruile	servile
seruilely	servilely
seruilitie	servility
seruility	servility
seruill	servile
seruing	serving
seruing-man	servingman
seruing-men	servingmen
seruing-womans	serving-woman's
seruingman	servingman
seruingmans	servingmans
seruingmen	servingmen
seruises	services
seruitor	servitor
seruitors	servitors
seruitour	servitor
seruitours	servitors
seruitude	servitude
seruiues	seruives
seruyce	service
seruyng	serving
serv	serve
serv'd	served
serv'st	servest
serv.	seru.
servante	servant
servd	served
servent	servient
servicē	servicem
serving-man	servingman
serving-men	servingmen
servitours	servitors
servivs	servius
servvs	serws
sess'd	sessed
sessiō	session
sestercies	sesterces
set'st	settest
set-on	seton
set-out	setout
set-vp	setup
sethyng	seething
sethynge	seething
setle	settle
setled	settled
setles	settles
setlest	settlest
setling	settling
setst	settest
sett	set
sett'st	settest
sette	set
setteled	settled
settes	sets
setteth	sets
settis	sets
settl'd	settled
settle-braine	settle-brain
setts	sets
settyng	setting
settynge	setting
seu'rall	several
seu'ring	severing
seuant	sevant
seueare	seveare
seueere	seveere
seueerest	seveerest
seueld	seveld
seuen	seven
seuen-fold	sevenfold
seuen-night	sevennight
seuen-shares	seven-shares
seuenfold	sevenfold
seuenight	sevennight
seuennight	sevennight
seuenscore	sevenscore
seuent	sevent
seuenteene	seventeene
seuenteenth	seventeenth
seuentene	seventene
seuenth	seventh
seuenth-night	seventh-night
seuentie	seventie
seuentimes-heat	seventimes-heat
seuenty	seventy
seuenty-seuen	seventy-seven
seuer	sever
seuer'd	severed
seuer'em	sever'em
seueral	several
seuerall	several
seuerallie	severally
seuerally	severally
seuerance	severance
seuerd	severed
seuerde	severde
seuere	severe
seuered	severed
seuerelie	severely
seuerely	severely
seuerenesse	severeness
seuerer	severer
seuerest	severest
seueri	severi
seueriores	severiores
seueritie	severity
seuerity	severity
seuerne	severne
seuerns	severns
seuero	severo
seuers	severs
seuerus	severus
seuē	seven
seuēnight	sevennight
seuēth	seventh
seuil	sevil
seuo	sevo
seurall	several
seure	sever
sev'ral	several
sev'rall	several
seven-fold	sevenfold
seven-night	sevennight
sevenight	sevennight
sever'd	severed
severall	several
severall-colour'd	several-coloured
severd	severed
severitie	severity
severvs	severus
sew'd	sewed
sewe	sew
sewes	sews
sewyng	sewing
sexe	sex
sexten	sexton
sextvs	sextus
seyes	says
seyng	sing
seyst	sayest
seyz'd	seized
seyze	seize
seyzed	seized
sēd	send
sēmpyternall	sempyternall
sēpster	sempster
sfoote	sfoot
sforza'es	sforza's
sh'	she
sha'd	shaed
sha't	shalt
shacke	shack
shackels	shackles
shackle-soule	shackle-soul
shaddow	shadow
shaddow'd	shadowed
shaddowe	shadow
shaddowed	shadowed
shaddowes	shadows
shaddoweth	shadoweth
shaddows	shadows
shadelesse	shadeless
shadie	shady
shadovves	shadows
shadow'd	shadowed
shadow-like	shadowlike
shadowe	shadow
shadowes	shadows
shadowie	shadowy
shafalus	cephalus
shafte	shaft
shaftes	shafts
shag-rag	shagrag
shag-ragge	shagrag
shag-ruffe	shag-ruff
shagg	shag
shagge	shag
shagge-hair'd	shag-haired
shagge-haire	shag-hair
shaine	shame
shaire	share
shak'd	shaked
shak'st	shakest
shak-spear	shakspear
shake-speare	shakespeare
shaketh	shakes
shakles	shackles
shakrvvel	shakrwel
shakt	shaked
shakte	shaked
shakyng	shaking
shal	shall
shal's	shall's
shal't	shalt
shalbe	shall
shalbee	shalbe
shall-be	shall
shallbe	shall
shalle	shall
shallenge	challenge
shallowe	shallow
shallowes	shallows
shalmes	shaums
shalte	shalt
sham'd	shamed
sham'st	shamest
shamd	shamed
shamde	shamed
shame-fac'd	shamefaced
shame-fac't	shamefaced
shame-faced	shamefaced
shamefac'd	shamefaced
shamefac't	shamefaced
shamefac'tnesse	shamefacedness
shamefastnes	shamefastness
shamefastnesse	shamefastness
shamefull	shameful
shamefullie	shamefully
shameles	shameless
shamelesly	shamelessly
shamelesse	shameless
shamfac'd	shamfaced
shamfull	shameful
shamoyes	shamoys
shancks	shanks
shanke	shank
shankes	shanks
shap'd	shaped
shap't	shaped
shapeles	shapeless
shapt	shaped
shar'd	shared
shard	shared
shared'st	sharedest
sharke	shark
sharkes	sharks
sharkvvel	sharkwel
sharp'd	sharped
sharp'st	sharpest
sharpe	sharp
sharpe-witted	sharp-witted
sharpely	sharply
sharpen'd	sharpened
sharpenes	sharpness
sharpenesse	sharpness
sharpes	sharps
sharpned	sharpened
sharpnes	sharpness
sharpnesse	sharpness
sharpning	sharpening
shaterynge	shatering
shatter'd	shattered
shattred	shattered
shau'd	shaved
shau'n	shaven
shaue	shave
shaued	shaved
shaueling	shaveling
shauelynges	shavelings
shauen	shaved
shauenig	shavenig
shauer	shaver
shauers	shavers
shaues	shaves
shauileir	shavileir
shauing	shaving
shauings	shavings
shav'd	shaved
shav'm.	shau'm.
she'd	she
she'le	she'll
shead	shed
sheading	shedding
sheafe	sheaf
sheafes	sheaves
sheapheard	shepherd
sheapheards	shepherds
sheare	shear
sheares	shears
sheath'd	sheathed
sheaue	sheave
sheaues	sheaves
shed'st	sheddest
shedd	shed
shedde	shed
sheding	shedding
shedst	sheddest
shedynge	shedding
shee	she
shee'd	sheeed
shee's	she's
shee-deuils	shee-devils
shee-diuell	shee-divell
shee-wolfe	she-wolf
sheed	she
sheel'd	sheeled
sheeld	shield
sheeld-boies	sheeldboies
sheeldes	shields
sheeliues	sheelives
sheeloued	sheeloved
sheem'st	sheemest
sheene	sheen
sheep-biter	sheepbiter
sheep-cote	sheepcote
sheep-hook	sheephook
sheep-hooke	sheephook
sheep-shearing	sheepshearing
sheep-skin	sheepskin
sheep-skins	sheepskins
sheep-walkes	sheep-walks
sheepe	sheep
sheepe-biter	sheepbiter
sheepe-coate	sheepcoat
sheepe-cote	sheepcote
sheepe-hearde	shepherd
sheepe-hooke	sheephook
sheepe-hookes	sheephooks
sheepe-shearing	sheepshearing
sheepe-skin	sheepskin
sheepe-skins	sheepskins
sheepe-spirited	sheep-spirited
sheepe-walkes	sheep-walks
sheepeheard	shepherd
sheepeheardes	shepherds
sheepeheards	shepherds
sheepeherdes	shepherds
sheepes	sheeps
sheepes-face	sheeps-face
sheepes-head	sheehead
sheepes-heads	sheeps-heads
sheepeskin	sheepskin
sheepheard	shepherd
sheepheardes	shepherds
sheepheardesse	shepherdess
sheepheards	shepherds
sheephooke	sheephook
sheeps-kin	sheepskin
sheere	shear
shees	she's
sheete	sheet
sheetes	sheets
sheild	shield
sheildes	shields
sheilds	shields
shel-fish	shellfish
shelde	shield
shelds	shields
shelfe	shelf
shelfes	shelves
shell-fish	shellfish
shelles	shells
sheloues	sheloves
shels	shells
shelter'd	sheltered
sheltred	sheltered
shelues	shelves
shente	shent
shentle-man	gentleman
shentleman	gentleman
shentlemen	gentlemen
shep-herd	shepherd
shep-herds	shepherds
shepe	sheep
shepeheards	shepherds
shepes	sheeps
shephard	shepherd
shephards	shepherds
shepheard	shepherd
shephearde	shepherd
shepheardes	shepherds
shepheardess	shepherdess
shepheardesse	shepherdess
shepheardesses	shepherdess's
shepheards	shepherd's
shepherde	shepherd
shepherdes	shepherdess
shepherdesse	shepherdess
shephooke	shephook
sheppards	shepherds
sherif	sheriff
sherife	sheriff
sherifes	sheriffs
sheriffe	sheriff
sheriffes	sheriffs
sheriues	sherives
sheryng	shearing
shetes	sheets
sheuering	shevering
sheuoiliero	shevoiliero
sheuoiliers	shevoiliers
shevv	show
shevve	show
shevved	showed
shevvn	shown
shevvs	shows
shew	show
shew'd	showed
shew'n	shown
shew'st	shewest
shew-lane	show-lane
shewd	showed
shewde	showed
shewe	show
shewed	showed
shewen	shown
shewers	showers
shewes	shows
sheweth	shows
shewing	showing
shewn	shown
shewne	shown
shews	shows
shewst	showest
shewyng	showing
shēe	shene
shielde	shield
shieldes	shields
shiere	shire
shifte	shift
shiftes	shifts
shiftlesse	shiftless
shild	shield
shillinges	shillings
shin'd	shined
shin'st	shinest
shin-bones	shinbones
shind	shined
shinne	shin
shinnes	shins
shinyng	shining
ship'd	shipped
ship-board	shipboard
ship-boorde	shipboard
ship-boy	shipboy
ship-boyes	ship-bois
ship-man	shipman
ship-racke	shipwreck
ship-wrack	shipwreck
ship-wrack'd	shipwrecked
ship-wrack's	shipwreck's
ship-wracke	shipwreck
ship-wracks	shipwracks
ship-wrackt	shipwrecked
shipboord	shipboard
shipp	ship
shipp'd	shipped
shippe	ship
shippes	ships
shipps	ships
shipt	shipped
shipwrack'd	shipwrecked
shipwrack't	shipwrecked
shipwrackd	shipwrecked
shipwracke	shipwreck
shipwrackes	shipwracks
shipwracking	shipwracked
shipwrackt	shipwracked
shipwrake	shipwreck
shirife	sheriff
shiriffe	sheriff
shirte	shirt
shittle-cock	shuttlecock
shittle-cockes	shittle-cocks
shittlecocke	shuttlecock
shityng	shiting
shiualries	shivalries
shiue	shive
shiuer	shiver
shiuer'd	shivered
shiuerd	shiverd
shiuered	shivered
shiuering	shivering
shiuers	shivers
shiueryng	shivering
shīmering	shimmering
sho'd	shoed
shoald	shoaled
shoale	shoal
shoales	shoals
shoar	shore
shoare	shore
shoares	shores
shocke	shock
shockes	shocks
shoe-maker	shoemaker
shoe-makers	shoemakers
shoke	shook
shold	should
shold'st	shouldst
sholde	should
sholders	shoulders
sholdest	shouldst
sholdst	shouldst
shole	shoal
sholes	shoal
shomaker	shoemaker
shonld	should
shonne	shun
shoo'd	shooed
shoo-maker	shoemaker
shoo-makers	shoemakers
shoo-strings	shoestrings
shoo-tyes	shoo-ties
shooe	shoe
shooe-clouts	shoe-clouts
shooe-leather	shoe-leather
shooe-maker	shoemaker
shooe-makers	shoemakers
shooe-soles	shoe-soles
shooe-thred	shoe-thread
shooe-ties	shoe-ties
shooe-tyes	shoe-ties
shooemaker	shoemaker
shooemakers	shoemakers
shooes	shoes
shooing-horne	shooinghorn
shooke	shook
shooked	shook
shoold	should
shoomaker	shoemaker
shoomakers	shoemakers
shoon	shone
shoore	shore
shoos	shoes
shoostrings	shoestrings
shoot'st	shootest
shoote	shoot
shootes	shoots
shop-board	shopboard
shop-booke	shop-book
shop-bookes	shop-books
shop-boord	shopboard
shop-keeper	shopkeeper
shop-keepers	shopkeepers
shop-looke	shop-look
shop-windowes	shop-windows
shope	shaped
shopp	shop
shoppe	shop
shoppes	shops
shopps	shops
shorne	shorn
short'st	shortest
short-cloak'd	short-cloaked
short-hand	shorthand
short-heel'd	short-heeled
short-heeles	short-heals
short-hose	shorthose
short-leg'd	short-leged
short-liu'd	short-lived
short-liv'd	short-lived
short-yard	shortyard
shorte	short
shortely	shortly
shortēed	shortened
shortlie	shortly
shortlye	shortly
shortned	shortened
shortnes	shortness
shortnesse	shortness
shortneth	shorteneth
shortning	shortening
shot'st	shottest
shot-clogge	shot-clog
shot-free	shotfree
shot-proofe	shot-proof
shot-sharkes	shot-sharks
shott	shot
shotte	shot
shotter'd	shottered
shou'd	shoved
shou'dst	shouldst
shoud	should
shoudst	shouldst
shoue	shove
shoue-groat	shove-groat
shoued	shoved
shouelboord	shovelboord
shoueld	shoveld
shouell	shovel
shouell-board	shovel-board
shouels	shovels
shouelst	shovelst
shoul'd	should
should'st	shouldst
shoulde	should
shouldest	shouldst
shouldiers	shoulders
shouldred	shouldered
shoulst	shouldst
shoure	shower
shoute	shout
shoutes	shouts
shouyng	shoving
shov'd	shoved
shovells	shovels
shovld	should
shovts	shouts
shovve	show
shovves	shows
shovvres	showers
show'd	showed
show'n	shown
show'st	showest
show-lane	showlane
showd	showed
showe	show
showen	shown
showes	shows
showlders	shoulders
showne	shown
showr	shower
showr'd	showered
showre	shower
showred	showered
showres	showers
showring	showering
showrs	showers
showrynge	showering
showst	showest
showt	shout
showte	shout
showted	shouted
showtes	shouts
showting	shouting
showts	shouts
shranke	shrank
shredde	shred
shreek	shriek
shreek'd	shrieked
shreeke	shriek
shreekes	shrieks
shreeking	shrieking
shreekings	shriekings
shreeks	shrieks
shreeue	shreeve
shreik'd	shreiked
shreualtie	shrievalty
shreud	shrewd
shreude	shrewd
shreudly	shrewdly
shrew'd	shrewed
shrewd-braine	shrewd-brain
shrewde	shrewd
shrewdnes	shrewdness
shrewe	shrew
shrewes	shrews
shrewishnesse	shrewishness
shrickyng	shricking
shriekes	shrieks
shrieue	shrieve
shrieues	shrieves
shrik'd	shriked
shrike	shriek
shrikes	shrieks
shriking	shrieking
shril	shrill
shrilnes	shrillness
shriltong'd	shriltonged
shrimpes	shrimps
shrin'd	shrined
shrincke	shrink
shrink'st	shrinkest
shrinke	shrink
shrinkes	shrinks
shrinkst	shrinkest
shriu'd	shrived
shriue	shrive
shriuel'd	shrivelled
shriueld	shriveld
shriues	shrives
shriuing	shriving
shrivelled	shriveled
shronke	shrunk
shroude	shroud
shroudes	shrouds
shroue	shrove
shroue-tuesdaies	shrove-tuesdays
shroue-tuesday	shrovetuesday
shrouetide	shrovetide
shrouetuesday	shrovetuesday
shrouetyde	shrovetyde
shrouing	shroving
shrove-tide	shrovetide
shrovvd	shroud
shrovvde	shroud
shrow'd	shrow
shrowde	shroud
shrowded	shrouded
shrowdes	shrowds
shrowdyng	shrouding
shrowe	shrow
shrowes	shrows
shrubbe	shrub
shrubbes	shrubs
shrug'st	shruggest
shrugg	shrug
shrugg'd	shrugged
shrugge	shrug
shruggs	shrugs
shruncke	shrunk
shrunk-vp	shrunk-up
shrunke	shrunk
shrunke-vp	shrunke-up
shrykyng	shryking
shrynke	shrink
shrynkyng	shrynking
shu'd	shued
shu'dst	shouldst
shud	should
shud'st	shudest
shuddring	shuddering
shudst	shouldst
shufle	shuffle
shufled	shuffled
shufling	shuffling
shuld	should
shulde	should
shulders	shoulders
shuldest	shouldst
shuldst	shouldst
shun'd	shunned
shun-field	shunfield
shund	shunned
shunn	shun
shunn'd	shunned
shunne	shun
shunnes	shuns
shunns	shuns
shure	sure
shurt	shirt
shutt	shut
shutte	shut
shuttle-cock	shuttlecock
shuttle-cocks	shuttlecocks
shv.	shu.
shvn-field	shun-field
shvn.	shun.
shvnfield	shunfield
shweet	sweet
shyes	shies
shyft	shift
shyfte	shift
shyllynges	shillings
shynde	shined
shyne	shine
shyned	shined
shynes	shines
shyneth	shineth
shynge	shing
shyning	shining
shynyng	shining
shynynge	shining
shyp	ship
shyppe	ship
shyppes	ships
shyps	ships
shyre	shire
shyuer'd	shyvered
shyuered	shyvered
shyuering	shyvering
shyueringe	shyveringe
shyueryng	shyvering
shyuerynge	shyvering
shée	she
shée's	she's
shéep	sheep
shéepe	sheep
shéepes	sheeps
shées	she's
shéete	sheet
shéetes	sheets
siballaes	siballa's
sibbe	sib
sich	such
sick-bed	sickbed
sick-fall'n	sick-fallen
sicke	sick
sicke-mans	sick-man's
sicke-minded	sick-minded
sicke-womans	sick-woman's
sickely	sickly
sickenes	sickness
sickenesse	sickness
sicklenes	fickleness
sicklesse	sickless
sicklie	sickly
sickned	sickened
sicknes	sickness
sicknesse	sickness
siconian	siconjan
sicophants	sycophants
siddowe	siddow
side-wayes	sideways
side-ways	sideways
sids	sides
siedge	siege
sield	sealed
sierceness	fierceness
sieue	sieve
sieze	seize
siezes	seizes
sifte	sift
sigh'd	sighed
sigh'st	sighest
sighe	sigh
sighes	sighs
sighst	sighest
sighte	sight
sightes	sights
sightlesse	sightless
sign'd	signed
sign-post	signpost
signall	signal
signd	signed
signe	sign
signe-post	signpost
signe-posts	sign-posts
signes	signs
signeury	signory
significatiō	signification
signifie	signify
signifieng	signifying
signifieth	signifies
signifing	signifying
signifiyng	signifying
signify'd	signified
signiorie	signiory
signisie	signify
signories	seignories
sil'd	siled
sil-uer	silver
silanvs	silanus
sildom	seldom
sildome	seldom
silenc'd	silenced
silenc'st	silencest
silenc't	silenced
silente	silent
silēce	silence
silēces	silences
silivs	silius
silk-worm	silkworm
silk-worme	silkworm
silk-worms	silkworms
silke	silk
silke-lace	silk-lace
silke-stockings	silk-stockings
silke-worme	silkworm
silke-wormes	silkworms
silkes	silks
silkewormes	silkworms
silkē	silken
silkworme	silkworm
sill'd	silled
sillables	syllables
sillie	silly
silling	shilling
siluan	sylvan
siluane	sylvan
siluer	silver
siluer'd	silvered
siluer-beakers	silver-beakers
siluer-brightnesse	silver-brightness
siluer-brooke	silver-brook
siluer-droppes	silver-drops
siluer-falling	silver-falling
siluer-feather'd	silver-feathered
siluer-footed	silver-footed
siluer-hair'd	silver-haired
siluer-handed	silver-handed
siluer-street	silver-street
siluer-streete	silver-street
siluer-tongu'd	silver-tongued
siluian	silvian
silv.	silu.
silver-hair'd	silver-haired
simbole	symbol
simbolisde	symbolised
similies	similes
simonie	simony
simpathie	sympathy
simpathise	sympathise
simpathize	sympathise
simpathy	sympathy
simpathye	sympathy
simplenesse	simpleness
simplicitie	simplicity
simplie	simply
simpring	simpering
simpringly	simperingly
sin'd	sinned
sin-lesse	sinless
sinagogue	synagogue
sinagogues	synagogues
sinamon	cinnamon
sinceerely	sincerely
sincer	sincere
sincerelie	sincerely
sincerenesse	sincereness
sinceritie	sincerity
sinck	sink
sinck'st	sinckest
sincke	sink
sinckes	sinks
sincking	sinking
sincks	sinks
sindg'd	singed
sindge	sing
sindged	singed
sinely	finely
sinest	sinnest
sinewes	sinews
sinewie	sinewy
sinewiz'd	sinewized
sinfull	sinful
sinfull'st	sinfullest
sinfullie	sinfully
sinfulnes	sinfulness
sinfulnesse	sinfulness
sing'd	singed
sing'st	singest
singes	sings
singinge	singing
singl'd	singled
single-loues	single-loves
singlenesse	singleness
singst	singest
singularitie	singularity
singuler	singular
singyng	singing
sinke	sink
sinkes	sinks
sinlesse	sinless
sinn	sin
sinn'd	sinned
sinn's	sin's
sinn'st	sinnest
sinnd	sinned
sinne	sin
sinneful	sinful
sinnefull	sinful
sinnefully	sinfully
sinnen	sin
sinnes	sins
sinnewes	sinews
sinnews	sinews
sinnē	sin
sinns	sins
sinod	synod
sinowes	sinews
sippe	sip
sir-name	surname
sirah	sirrah
sires	sire's
sirha	sirrah
sirie	syria
sirnam'd	surnamed
sirname	surname
sirnamed	surnamed
sirnames	surnames
sirra	sirrah
sirre	sir
sirreuerence	sirreverence
sirrha	sirrah
sirringe	sirring
sirrop	syrup
sirrup	syrup
sirupe	syrup
sise	size
sister-hood	sisterhood
sit'st	sittest
sithe	sith
sithens	since
sithēce	since
sitst	sittest
sitt	sit
sitt'st	sittest
sitte	sit
sittes	sits
sitts	sits
sittyng	sitting
siue	sive
siuell	sivell
siuer	siver
siues	sives
siuill	sivill
six'd	sixed
six-or-seven-times-honoured	six-or-seven-times-honor'd
six-pence	sixpence
six-penny	sixpenny
six-peny	sixpenny
six-score	sixscore
sixe-pence	sixpence
sixe-penny	sixpenny
sixepence	sixpence
sixtly	sixthly
siz'd	sized
sizzars	scissors
skal'd	scaled
skalding	scalding
skale	scale
skaled	scaled
skales	scales
skante	scant
skape	scape
skar'd	scared
skarce	scarce
skarcely	scarcely
skarfe	scarf
skarfs	skarves
skarlets	scarlets
skarsitie	scarcity
skauenger	skavenger
skaunce	skance
skeane	skean
skeine	skein
skermish	skirmish
skew'd-eyde	skewed-eyed
skie	sky
skie-colour	sky-colour
skie-coullor'd	skie-coullored
skil	skill
skil'd	skilled
skild	skilled
skilfull	skilful
skill'd	skilled
skill-inriched	skill-enriched
skilles	skills
skillfull	skilful
skillfull'st	skillfullest
skillfully	skilfully
skils	skills
skimd	skimmed
skin'd	skined
skin-coate	skin-coat
skin-full	skinful
skinn'd	skinned
skinne	skin
skinne's	skin's
skinnes	skins
skinns	skins
skip-lacke	skip-lack
skipp'd	skipped
skippe	skip
skipt	skipped
skirmishe	skirmish
skirte	skirt
skirtes	skirts
skoffe	scoff
skonce	sconce
skonces	sconces
skorched	scorched
skore	score
skorn'd	scorned
skorne	scorn
skorning	scorning
skornst	scornest
skotfrée	scotfree
skourg'd	scourged
skouts	scouts
skowte	scout
skreeking	shrieking
skreen'd	screened
skreene	skreen
skru'd	skrued
skudded	scudded
skulk'd	skulked
skulke	skulk
skulkes	skulks
skulles	skulls
skuls	skulls
skumm'd	skummed
skye	sky
skyes	skies
skyll	skill
skyn	skin
skynne	skin
skyns	skins
skyrmish	skirmish
skyrmishing	skirmishing
slacke	slack
slackenesse	slackness
slackes	slacks
slackned	slackened
slacknes	slackness
slacknesse	slackness
slackt	slacked
slaie	slay
slaies	slays
slain'd	stained
slaine	slain
slaine-murder	slain-murder
slaines	slains
slak'd	slaked
slam'd	slammed
slamyng	slamming
sland'red	slandered
slander'd	slandered
slandring	slandering
slandrous	slanderous
slap'd	slapped
slash'd	slashed
slasht	slashed
slatter'd	slattered
slau'd	slaved
slau'ry	slavery
slaue	slave
slaue's	slave's
slaue-borne	slave-borne
slaue-like	slavelike
slaue-pander	slave-pander
slaued	slaved
slauelike	slavelike
slauelyke	slavelyke
slauer	slaver
slauer'd	slavered
slauereth	slaver
slauerie	slavery
slaueries	slaveries
slauering	slavering
slauery	slavery
slauerye	slavery
slaues	slaves
slaught'red	slaughtered
slaughter'd	slaughtered
slaughter-house	slaughterhouse
slaughter-man	slaughterman
slaughterd	slaughtered
slaughtred	slaughtered
slaughtring	slaughtering
slauish	slavish
slaunder	slander
slaundered	slandered
slaundering	slandering
slaunderous	slanderous
slaunders	slanders
slaundred	slandered
slauonian	slavonian
slauonians	slavonians
slauter'd	slautered
slav'd	slaved
slave-like	slavelike
slaverie	slavery
slavs	slaus
slaw	slavum
slaye	slay
slayes	slays
slayn	slain
slayne	slain
slayue	slayve
slāderer	slanderer
slea	slay
sleack'd	sleacked
sleape	sleep
sleapeth	sleepeth
sleaping	sleeping
sleave	sleeve
sledg'd	sledged
sleek'd	sleeked
sleek-brow'd	sleek-browed
sleekd	sleeked
sleeke	sleek
sleep'd	sleeped
sleep'st	sleepest
sleepe	sleep
sleepes	sleeps
sleepie	sleepy
sleepinesse	sleepiness
sleeplesse	sleepless
sleepst	sleepest
sleept	slept
sleete	fleet
sleeue	sleeve
sleeues	sleeves
sleightes	sleights
sleightly	slightly
slendre	slender
slendrest	slenderest
slep'd	slept
slepe	sleep
slepers	sleepers
slepeth	sleepeth
slepp'd	slept
slept'st	sleptest
slepynge	sleeping
sleue	sleve
sleues	sleves
slew'st	slewest
slewe	slew
slewst	slewest
sley	slay
sleyght	sleight
sleyghte	sleight
sleyghts	sleights
slēder	slender
slēderly	slenderly
sli'd	slied
slic'd	sliced
slicke	slick
slidd	slid
slidde	slid
slie	sly
slieghtly	slightly
slight'st	slightest
slightes	slights
slightnesse	slightness
slimie	slimy
slinge	sling
slinke	slink
slip'd	slipped
slip-shod	slipshod
slip-shood	slipshood
slipp	slip
slipp'd	slipped
slippe	slip
slipperie	slippery
slippes	slips
slippry	slippery
slipps	slips
slipt	slipped
slitt	slit
sloath	sloth
sloathfull	slothful
slocke	slock
slomber	slumber
sloope	sloop
sloppe	slop
slopps	slops
slopt	slopped
slothe	sloth
slothfull	slothful
slothfulnesse	slothfulness
slouen	sloven
slouenlie	slovenly
slouenly	slovenly
slouenrie	slovenry
slouenry	slovenry
slouens	slovens
sloughes	sloughs
slouinly	slovinly
slouthfull	slothful
slouthfulnesse	slothfulness
slow's	slow
slow-jaw'd	slow-jawed
slow-pac'd	slow-paced
slowe	slow
slowely	slowly
slowes	slows
slowlie	slowly
slownesse	slowness
slubber'd	slubbered
sluc'd	sluice
sluce	sluice
sluce-passages	sluice-passages
sluces	sluices
slue	slew
slugge	slug
sluggishe	sluggish
sluggishnesse	sluggishness
sluggysh	sluggish
slumberlesse	slumberless
slumbred	slumbered
slumbreth	slumbereth
slumbring	slumbering
slunke	slunk
slurgynge	slurging
slurre	slur
slūbers	slumbers
slyde	slide
slyding	sliding
slydyng	sliding
slye	sly
slyes	slies
slyeth	slayeth
slylye	slyly
slyme	slime
slyng	sling
slyp	slip
slyppe	slip
slyppers	slippers
slyppyng	slypping
slysyng	slysing
slyuyng	slyving
sléep	sleep
sléepe	sleep
sléepes	sleeps
sléepeth	sleepeth
sléepie	sleepy
sléeping	sleeping
sléeps	sleeps
sléeue	sleeve
sléeues	sleeves
smacke	smack
smal	small
smal-shank	small-shank
smal-shanke	small-shank
smal-shankes	small-shanks
smale	small
smale-shankes	small-shanks
smale-time	small-time
smalest	smallest
small'st	smallest
small-shanke	small-shank
small-shankes	small-shanks
small-shot	smallshot
smallnesse	smallness
smalness	smallness
smalnesse	smallness
smart-tongu'd	smart-tongued
smarte	smart
smartes	smarts
smear'd	smeared
smeares	smears
smeer'd	smeared
smeld	smelled
smell'd	smelled
smell'st	smellest
smell-smocke	smell-smock
smelles	smells
smellyng	smelling
smels	smells
smight	smite
smil'd	smiled
smil'st	smilest
smild	smiled
smilde	smiled
smiledst	smiledest
smileing	smiling
smirke	smirk
smith-field	smithfield
smithes	smith's
smithie	smithy
