# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
aparantly	apparently
aparātly	apparently
aparel	apparel
aparell	apparel
aparelled	apparelled
aparellynge	aparelling
aparte	apart
apayd	payed
apayde	apaid
ape-fac'd	ape-faced
ape-lou'd	ape-loved
apeare	appear
apeared	appeared
apeares	appears
apeasde	appeased
apease	appease
apeased	appeased
apeece	apiece
apereth	appeareth
aperynge	apering
apetite	appetite
aphorismes	aphorisms
apicivs	apicius
apish-trickes	apish-tricks
apishnesse	apishness
aplause	applause
aplauses	applauses
aple	apple
aples	apples
apo	upon
apochryphal	apocryphal
apocriphall	apocryphal
apocryphall	apocryphal
apoint	appoint
apointed	appointed
apointes	appoints
apointment	appointment
apollogy	apology
apologeticall	apologetical
apophthegmes	apophthegms
apoplexed	apoplexeded
apoplexie	apoplexy
apostacie	apostasy
apostacy	apostasy
apostasie	apostasy
apostaticall	apostatical
apostemates	apostemate
apostolicall	apostolical
apothecarie	apothecary
apothecaryes	apothecaries
apothegmes	apothegms
apoynted	appointed
apoyntment	appointment
appaid	apaid
appale	appal
appalld	appalled
apparaile	apparel
apparailed	apparelled
apparance	appearance
apparances	appearances
apparant	apparent
apparantly	apparently
apparaunce	appearance
apparaunt	apparent
apparāt	apparent
apparel'd	apparelled
appareld	apparelled
appareled	apparelled
apparell	apparel
apparell'd	apparelled
apparell's	apparel's
apparelled	appareled
apparelynge	apparelling
apparence	appearance
apparencie	apparency
apparrel	apparel
apparrel'd	apparelled
apparreld	apparelled
apparrell	apparel
apparrell'd	apparelled
apparrelled	apparelled
apparrelling	apparelling
apparrels	apparels
appauled	appalled
appayse	appaise
appeach'd	appeached
appeache	appeach
appeale	appeal
appeales	appeals
appear'd	appeared
appear'st	appearest
appeard	appeared
appearde	appeared
appeare	appear
appeare's	appear's
appeares	appears
appearst	appearest
appeas'd	appeased
appeasd	appeased
appeasde	appeased
appeaz'd	appeased
appeere	appear
appeeres	appears
appeering	appearing
appehension	apprehension
appenine	apennine
appere	appear
appered	appeared
appereth	appeareth
appertain'd	appertained
appertaine	appertain
appertaines	appertains
appertayne	appertain
apperteineth	appertaineth
apperteyneth	appertaineth
apperteyning	appertaining
appetie	appetite
appetyte	appetite
appēare	appear
applasiue	applasive
applaude	applaud
applaudes	applauds
applaus'd	applaused
applausiue	applausive
apple-haruest	apple-harvest
apple-tree	appletree
appli'd	applied
applide	applied
applie	apply
apply'd	applied
applyable	appliable
applyde	applied
applye	apply
applyed	applied
